customer_id,name,email,address
9c9c1087-6b27-4361-8e79-611e3df12168,Sarah Villarreal,wmorrow@example.com,"37682 Pierce Street Suite 521, New Dawn, OK 48805"
ccec5fb4-fffe-4730-986b-3eac90ea0982,Frank Brown,katherine37@example.org,"7610 Rivers Skyway Apt. 020, Mcintyrebury, HI 99277"
f75086f4-2644-4a29-a3f3-ceb665891e41,Tracy Casey,rachel83@example.com,"USCGC Griffin, FPO AP 90602"
288f9229-e63b-436b-98a5-f87436d93b22,Brittany Cunningham,invalid_email@,"568 Douglas Skyway Suite 045, Port Kimberlyberg, CO 34350"
9b6c2795-c617-4318-b0d4-da8082592f44,Cheryl Osborn,zjones@example.com,"458 Daugherty Divide, West Jamestown, HI 25448"
f78daa65-ddb5-4236-857c-8fee61351ec9,Brad Jacobs,monicajackson@example.com,"494 Gomez Springs, Millerland, MP 92368"
15b9ec5e-5de9-4a34-9166-cda12949c6b3,Jeanne Hamilton,jennifer52@example.org,"403 Pamela Course Suite 749, East Russellfort, NC 20093"
fd0df9ac-4e20-4c48-b03b-1cf29440677b,Ryan Clark,jmurphy@example.org,"001 Jared Forge Apt. 352, New Warren, KS 15432"
3fda80d5-cdd7-47cb-90a0-60e5f61aa8e6,Jessica Watson,georgehernandez@example.com,"054 Thornton Course, Ralphport, DE 29382"
5c69cfd9-cbbf-48c8-b774-74679ee9ef36,Robert Cunningham,cunninghamkevin@example.com,"205 Ryan Path, North Brian, DE 02461"
70d13bf1-2ee8-4799-a96b-fbeb3ad56a8f,Jonathan Gutierrez,joseph93@example.com,"888 Garcia Ports Apt. 367, Lake Amandaberg, PW 10059"
eca1e78b-07f9-40ed-8406-d920bf77e347,Jacob Lopez,michaelmiller@example.com,"0108 Hines Mission Apt. 975, Edwardston, WI 68801"
6fe6db9e-0fad-4dd3-a0e4-79d8e1fd1907,Kimberly House,charlescortez@example.net,"12755 Nicholson Green Apt. 771, North Jessicaborough, GA 78617"
fecae811-a3e6-437f-bd0a-720edfe4d046,Darlene Walls,gregoryandrews@example.org,"9143 Garcia Cove, Joeshire, NV 00568"
b5d0dfb0-1436-47b7-a271-c68d61107abf,Pamela Powers,email.example.com,"78750 Larry Forge, Conniefort, IL 73452"
9d2462e0-b26e-42df-a5ce-b30bcac38481,Richard Williams,qzamora@example.com,"16013 Samuel Valley, Andrewschester, AZ 47143"
ab11f1dd-4754-451b-a924-9ec3411c5cf6,Jonathan Freeman,stevenroberts@example.org,"5918 Chaney Coves, West Amandachester, ND 86012"
5f9db744-85ab-4e29-87c1-9fc261dbd4c4,Elizabeth Bell,machine@example,"86122 Abigail Park, Lake Matthewmouth, LA 44289"
ad7ed9cd-34c2-4046-9e01-88123c4d76c6,Toni Ross,aaronnelson@example.com,"3073 Evans Vista Apt. 458, Bryanfurt, NH 71711"
8b861862-240c-4ba9-8239-bccc6573f888,Kaitlin Howell,denisehorne@example.org,"Unit 6398 Box 0297, DPO AA 94167"
edb47777-6fa1-476e-8166-ce1ad3cf73b7,Brian Walls,jessica13@example.com,"967 Norris Club, Ramirezmouth, PW 63860"
3e13c62a-919d-4031-a9e6-d1c65ce2c257,Jamie Black,email.example.com,"0433 Robin Cove Apt. 077, Travisside, NH 12363"
0fbda652-3fea-41ab-9d00-0b159760cd67,Theresa Holt,uking@example.net,"070 Taylor Neck, Bennettfurt, SD 26700"
d2aa3c19-ebed-43d5-885a-0ac4d9f1ec1d,Stephen Jordan,wendy57@example.org,"25707 Maria Street Suite 144, Rebeccaview, NJ 08865"
86737142-6cb2-443c-8f6e-8c584934946a,Valerie Collins,nicole16@example.com,"3832 Collins Cape, Lake Christopherport, MA 52931"
e817b8e0-fe07-4d85-a1cb-06ec6cd8b932,Jose Hicks,jose45@example.com,"65573 Joshua Orchard Apt. 807, Lake Diana, AR 81295"
0cbaf4ee-07f7-464b-8111-1e49b07d6bec,Stephen Robinson,agreement@example,"41013 Nathan Crossing, Kimberlystad, MS 90316"
68b2e636-3054-4c50-8224-5880f7b6071e,Jasmin Moses,lisa24@example.com,"164 Mark Ports Apt. 567, North Tonyaland, NV 85291"
f4f4a9fa-1a77-4592-92f1-092678a3cc26,Kathryn Mccarthy,yvonnemartinez@example.org,"2570 Smith Corners Apt. 308, South Jamieborough, OH 28278"
881ffc74-2711-4371-945c-5f7e18d12ae9,Tracy Reyes,invalid_email@,"190 Thomas Keys, South Miamouth, ID 12701"
c84f72e4-e65d-41cb-b97d-8189f6f4d59d,Brittany Schmidt,fsmith@example.com,"2798 Robbins Terrace, West Paul, MT 29313"
9dc819d6-488b-4b7e-a533-f684e0e47269,Briana Douglas,jpetersen@example.com,"7143 Watson Pines Suite 627, Johnchester, KY 91822"
ae02eb23-f04d-44ff-a2a4-95cda027f9cb,Debra Haynes,uheath@example.com,"2590 Elizabeth Corner Suite 860, Leeport, NY 80356"
7c7a032f-df9a-4376-b992-8585ea244e2a,Joel Marsh,armstrongchris@example.org,"169 Black Vista, Valeriehaven, HI 01979"
405a2399-5e84-4462-bee6-7e7a61cfd987,Michael Lyons,email.example.com,"3096 Kayla Lake Suite 120, Reynoldsstad, UT 01404"
28b5eaeb-b9d4-4d8b-8d1b-054570fb8f83,Amanda Johnson,rebecca73@example.com,"94806 Stephens Circle, Lake Travishaven, GA 59238"
467a26de-654f-4e77-a135-4287d1f2acac,Rachel Bailey,brian01@example.com,"Unit 2860 Box 3246, DPO AE 84401"
184684fe-2324-46fd-90ab-a9398822b9a2,Mark Bonilla,christopherwright@example.org,"23662 Dawn Wall, Rasmussenmouth, LA 03243"
5ec86881-75a8-451d-bc7d-2f903d805b1e,Dr. Michael Morris,bradley60@example.org,"784 Barber Haven, Tonyfurt, MT 90857"
c4edd783-51f3-46ad-b3aa-59839dff6acf,Ian Griffin,subject@example,"2101 Kevin Via, North Kevinbury, MI 59861"
8ee7dceb-b19f-4e88-8d22-ebf8673f3b56,Patrick Waters,mrussell@example.net,"02838 Espinoza Light Apt. 176, West Tony, DC 93476"
c1d99dab-6fdd-4996-b492-da867f9cfdd1,Adrian Munoz,josephjason@example.org,"313 Matthew Haven Apt. 757, Anthonychester, AZ 55136"
424933aa-1e60-4403-b70b-b98dd3d5d326,Calvin Anderson,georgeamy@example.org,"7333 Smith Grove, West Cassidy, CA 96671"
42568b51-cd39-462d-883b-0ad47fbd6430,William Martin,zacharyfields@example.net,"46709 Barbara Drive, North Jacqueline, ID 77918"
f3267160-beab-48c4-a96b-e82545930003,Mrs. Melissa Lambert,test@example,"46703 Vincent Plains, Danielmouth, NE 04889"
c5a352f1-65fb-47dc-8dd6-6cd720ffb02b,Jessica Newman,rodney40@example.net,"USS Lang, FPO AA 75908"
c3a81186-eb42-4486-9571-17595fe15ea2,Austin Smith,email.example.com,"5268 Hunter Landing, South Samanthaborough, NV 53086"
f8fa8dd0-8f08-4788-a021-911346f74ff3,Michael Stevens,ghernandez@example.net,"249 Jensen Run, Brittanymouth, MT 05719"
091a64f3-0114-4a2c-8220-b2a75f369f44,Matthew Ferguson,email.example.com,"USNV Romero, FPO AA 52746"
73beef70-ff31-43da-baad-56a019328cda,Christina Moore,qrodriguez@example.net,"570 Patterson Ford Suite 740, Cindyside, KY 05454"
e516aa0e-a4df-479a-ac58-f8d442c5d90f,Christina Gonzalez,zmartinez@example.com,"84096 Park Cliffs, New Katiehaven, WV 00633"
